id,Status,Date_Of_Birth,Monthly_Income,Employment_Length,State,Interest_Rate,FICO_Range,Default
94582,accepted,1983-29-01,5250.0,2013-04,WV,15.80,685-689,0.0
457,accepted,1982-06-09,3666.67,2010-05,NH,13.55,675-679,0.0
96536,pending,1978-10-11,5583.33,2006-02,AL,7.90,780-784,
39591,accepted,1989-30-09,5666.67,2013-08,GA,7.90,720-724,0.0
78862,accepted,1995-12-06,3750.0,2015-11,VA,7.62,830-834,0.0
54619,accepted,1990-01-03,5000.0,2012-08,NY,8.90,715-719,0.0
101798,accepted,1996-27-11,3448.33,2015-07,MD,12.49,660-664,0.0
98029,accepted,1995-06-03,2500.0,2013-01,HI,17.27,670-674,0.0
95579,accepted,1995-19-09,4416.67,2013-01,TX,11.14,720-724,0.0
4868,accepted,1986-14-02,12000.0,2008-08,DC,19.13,660-664,1.0
26822,accepted,1980-20-02,3700.0,2012-04,MD,21.74,660-664,0.0
98445,accepted,1986-22-08,5166.67,2006-11,CA,17.27,675-679,0.0
14958,accepted,1997-09-05,5577.0,2015-05,TX,11.86,715-719,0.0
14754,accepted,1995-05-02,3083.33,2014-08,PA,10.38,710-714,0.0
34501,accepted,1991-02-01,11250.0,2015-09,CA,23.91,670-674,0.0
26888,accepted,1976-07-12,4600.0,2006-03,WA,7.49,785-789,0.0
81759,accepted,1979-24-05,4500.0,2011-06,NY,12.12,705-709,0.0
10825,accepted,1993-04-08,3750.0,2014-11,IL,10.38,750-754,0.0
16667,accepted,1976-24-12,7952.0,2008-09,MD,17.44,660-664,1.0
92046,accepted,1992-28-04,9250.0,2014-11,IL,17.27,700-704,0.0
88279,accepted,1980-17-12,4166.67,2007-05,HI,21.49,665-669,1.0
17218,accepted,1979-19-01,3000.0,2011-01,NY,17.80,680-684,1.0
82406,accepted,1984-21-04,7500.0,2015-06,NC,11.14,725-729,0.0
17143,accepted,1989-05-07,1100.0,2012-10,WI,12.98,670-674,0.0
27486,accepted,1986-28-06,2625.0,2006-05,FL,9.99,715-719,0.0
96613,accepted,1983-26-04,5166.67,2006-04,CA,14.33,690-694,0.0
6263,accepted,1997-26-03,4583.33,2015-07,NY,8.59,755-759,0.0
29283,accepted,1990-25-03,2708.33,2015-07,IL,11.49,705-709,0.0
99766,accepted,1981-28-01,8000.0,2006-02,SD,10.16,715-719,0.0
85893,accepted,1984-02-01,4166.67,2015-07,WV,14.33,680-684,1.0
98972,accepted,1984-01-08,3250.0,2013-05,OH,15.80,665-669,0.0
44054,accepted,1979-26-06,4250.0,2006-09,AK,9.91,730-734,0.0
51948,accepted,1995-31-03,5500.0,2015-06,CA,7.90,725-729,0.0
48676,accepted,1990-28-07,3650.0,2011-04,NJ,13.11,685-689,1.0
82294,pending,1984-20-11,9166.67,2015-07,CA,16.29,685-689,
20328,accepted,1986-17-11,2916.67,2015-02,CA,18.25,705-709,0.0
71489,accepted,1986-30-04,5000.0,2010-05,HI,14.09,695-699,0.0
43203,accepted,1979-12-02,7500.0,2006-03,CA,19.03,695-699,0.0
48319,accepted,1987-02-07,5500.0,2010-06,DE,8.90,715-719,0.0
5367,accepted,1986-28-09,4583.33,2010-04,GA,11.83,735-739,0.0
83768,pending,1980-27-09,4583.33,2006-01,NJ,17.27,665-669,
88084,accepted,1987-14-01,3833.33,2006-04,MN,15.31,670-674,0.0
101540,accepted,1987-28-07,5000.0,2006-09,MO,13.12,670-674,0.0
9664,accepted,1987-27-11,2666.67,2009-12,WV,6.76,790-794,0.0
1494,accepted,1983-10-03,2427.0,2013-12,RI,10.83,700-704,0.0
61703,accepted,1976-18-07,2500.0,2008-12,NY,17.77,665-669,0.0
61576,accepted,1993-27-01,5416.67,2013-12,GA,7.90,725-729,0.0
21993,accepted,1984-29-07,5883.33,2006-07,WA,13.06,710-714,0.0
58359,pending,1981-26-09,5833.33,2006-06,CA,7.62,760-764,
67335,pending,1986-17-10,6399.0,2006-09,PA,17.77,680-684,
57080,accepted,1986-01-07,5833.33,2006-09,VA,12.12,690-694,0.0
30035,accepted,1986-10-04,6000.0,2009-07,MA,16.49,695-699,0.0
103948,accepted,1989-21-01,6666.67,2011-07,CA,11.12,725-729,0.0
96659,accepted,1976-18-11,3041.67,2006-10,NC,8.90,810-814,0.0
67158,accepted,1978-26-01,4583.33,2010-05,CO,14.09,675-679,1.0
33777,accepted,1985-26-09,4800.0,2006-01,NJ,7.51,750-754,0.0
59724,accepted,1989-28-06,3333.33,2014-01,KS,13.11,685-689,1.0
95096,pending,1980-08-09,2000.0,2010-03,GA,16.29,665-669,
67629,accepted,1980-06-10,6000.0,,IL,7.62,765-769,0.0
51929,accepted,1995-03-11,2666.67,,CA,15.81,670-674,1.0
13216,accepted,1992-17-01,2500.0,2015-02,IL,14.35,675-679,1.0
103405,accepted,1985-16-07,5250.0,2014-08,FL,14.96,675-679,1.0
53271,accepted,1990-21-04,10000.0,2010-02,NM,6.62,750-754,0.0
25380,accepted,1986-10-09,10000.0,2010-11,CA,5.99,765-769,0.0
6987,accepted,1980-06-10,12500.0,2011-06,MD,11.14,735-739,0.0
96413,accepted,1991-11-11,4166.67,2011-07,CT,19.72,665-669,1.0
88273,accepted,1978-12-06,5833.33,2006-10,NM,18.75,670-674,1.0
48519,accepted,1984-24-01,4666.67,2006-07,LA,13.11,700-704,0.0
69456,accepted,1983-19-06,4000.0,2006-04,CA,7.90,705-709,0.0
41198,accepted,1987-11-09,5250.0,2015-11,NC,6.62,740-744,0.0
44282,accepted,1980-21-09,4250.0,2012-12,NY,21.48,690-694,0.0
34122,accepted,1987-06-05,7083.33,2007-06,OH,10.65,720-724,0.0
84563,accepted,1993-25-12,3500.0,,NC,7.62,765-769,0.0
98634,accepted,1983-06-06,14583.33,2009-01,FL,6.03,715-719,0.0
73526,accepted,1985-22-02,8233.33,2015-09,NC,13.11,710-714,0.0
82476,pending,1991-14-06,2916.67,2015-05,CA,14.09,690-694,
67263,accepted,1992-27-07,4000.0,2012-06,MI,14.09,710-714,0.0
41267,accepted,1993-24-07,18333.33,2015-12,IL,7.90,775-779,0.0
64884,accepted,1974-22-03,9583.33,,NJ,6.03,815-819,0.0
18452,accepted,1992-12-03,4234.0,2014-09,CT,6.17,745-749,0.0
57866,pending,1981-18-10,5000.0,2006-11,CA,13.99,660-664,
77151,pending,1993-19-07,12916.67,2012-06,MA,15.80,690-694,
25405,accepted,1995-09-05,7500.0,2015-10,NY,10.99,710-714,0.0
85644,accepted,1984-18-10,3333.33,,TX,10.16,725-729,0.0
85686,accepted,1982-08-03,5000.0,2012-03,NY,14.09,675-679,0.0
54649,accepted,1979-09-02,6000.0,2008-08,CT,6.03,765-769,0.0
19069,pending,1978-30-08,9000.0,2006-09,RI,7.66,735-739,
74479,accepted,1983-13-10,6250.0,2007-12,IL,19.05,700-704,0.0
76693,accepted,1974-15-10,10416.67,2006-11,CA,8.90,735-739,0.0
63266,accepted,1986-08-05,3750.0,2006-01,OK,11.14,690-694,0.0
32008,accepted,1985-23-02,9000.0,2012-01,CA,8.49,760-764,0.0
13996,accepted,1988-10-11,5132.0,2013-12,TX,15.21,680-684,0.0
80638,accepted,1984-30-09,4916.67,2009-09,NY,19.72,695-699,0.0
36889,accepted,1983-13-05,9583.33,2015-12,CA,14.65,675-679,0.0
72169,accepted,1986-09-01,6250.0,2007-09,GA,14.33,700-704,0.0
19548,accepted,1972-29-06,2900.0,,KS,10.74,695-699,0.0
103357,pending,1980-14-11,9333.33,2006-03,OH,15.70,675-679,
59117,accepted,1988-24-11,4683.33,2014-03,NV,9.76,730-734,0.0
15427,pending,1996-10-01,4600.0,2014-10,CA,16.32,665-669,
224,accepted,1982-21-09,10000.0,2008-05,NY,14.07,675-679,1.0
85618,accepted,1986-25-11,5416.67,2015-06,FL,14.09,680-684,0.0
43436,accepted,1983-26-10,7916.67,2015-02,NY,9.91,725-729,0.0
19328,pending,1991-19-11,4166.67,2015-10,CA,16.40,660-664,
65134,accepted,1978-11-05,10000.0,2007-03,CA,6.62,805-809,0.0
20263,accepted,1996-12-10,12500.0,2015-04,GA,5.79,745-749,0.0
9194,accepted,1983-19-09,4500.0,2011-03,MA,9.88,740-744,0.0
27520,accepted,1979-23-10,4250.0,2006-05,RI,15.99,700-704,0.0
45941,accepted,1988-16-07,1100.0,,VA,9.76,720-724,0.0
69242,accepted,1982-04-10,7083.33,2006-04,WI,23.28,660-664,1.0
2633,accepted,1985-17-01,4190.0,2015-12,OK,9.63,735-739,0.0
48662,accepted,1994-29-06,3150.25,2012-06,WI,13.11,700-704,0.0
65775,accepted,1987-23-01,6000.0,2010-07,TX,11.14,705-709,0.0
92773,accepted,1991-12-12,2625.0,2011-12,AK,13.11,725-729,0.0
33161,accepted,1979-22-02,3833.33,,SC,17.27,660-664,0.0
37985,accepted,1981-27-03,7500.0,2006-09,MD,7.51,735-739,0.0
2791,pending,1984-10-09,2500.0,2013-11,WI,14.11,725-729,
81950,accepted,1987-25-03,2833.33,2008-06,NY,14.33,705-709,0.0
84215,accepted,1987-26-03,12500.0,2007-09,MD,21.49,670-674,1.0
93352,accepted,1987-24-08,7083.33,2012-10,CO,8.90,720-724,0.0
10474,accepted,1977-12-06,8400.0,2006-06,FL,10.75,715-719,0.0
15717,accepted,1978-07-06,7666.67,2008-12,CO,16.69,705-709,0.0
103874,accepted,1989-17-02,3916.67,2012-05,MO,13.98,710-714,0.0
132,pending,1991-11-08,3892.75,2013-04,VA,10.91,690-694,
5169,accepted,1987-03-09,5031.67,2006-04,NY,11.48,705-709,0.0
29812,accepted,1990-16-05,5000.0,2014-09,CO,13.49,685-689,1.0
56991,accepted,1978-27-07,5000.0,2008-07,GA,18.25,660-664,0.0
62537,accepted,1984-18-02,3333.33,2009-01,NY,17.77,665-669,0.0
22858,accepted,1985-28-09,3000.0,2015-08,MD,6.92,745-749,0.0
78602,accepted,1984-09-05,4500.0,2009-11,PA,7.90,740-744,0.0
93778,accepted,1987-20-05,5000.0,2015-09,TX,14.33,665-669,0.0
87504,accepted,1997-13-03,2083.33,2015-07,NY,10.16,695-699,0.0
92105,accepted,1983-22-04,2916.67,2011-06,FL,16.29,680-684,1.0
59387,accepted,1992-12-05,2166.67,2012-12,UT,8.90,700-704,0.0
6067,accepted,1982-11-09,3666.67,2010-03,CO,12.53,715-719,0.0
62445,accepted,1979-20-10,5258.5,2006-01,CA,15.31,710-714,0.0
35834,accepted,1992-08-01,2748.0,2010-01,PA,15.27,720-724,0.0
24320,accepted,1996-29-04,4583.33,2015-06,KS,15.23,665-669,0.0
68821,accepted,1993-01-09,2750.0,2011-11,CA,11.14,700-704,0.0
96988,accepted,1985-29-06,2500.0,2009-12,PA,13.11,685-689,1.0
47002,accepted,1979-18-08,5000.0,2006-11,MD,8.90,725-729,0.0
53897,accepted,1978-29-12,5000.0,2006-03,CA,12.12,685-689,0.0
40136,accepted,1985-19-01,7916.67,2006-12,AL,21.28,680-684,0.0
14952,accepted,1983-10-10,3000.0,2014-09,PA,10.38,750-754,0.0
40856,accepted,1994-02-03,4000.0,2015-01,TX,7.90,800-804,0.0
4938,accepted,1988-13-12,8333.33,2013-08,UT,11.14,740-744,0.0
59272,accepted,1978-30-09,3833.33,2009-10,NY,7.62,730-734,0.0
80512,pending,1986-06-02,4333.33,2013-05,CA,11.14,720-724,
82071,accepted,1980-16-03,7500.0,2006-09,MN,14.33,700-704,0.0
90748,pending,1993-22-02,8416.67,2011-03,CA,7.90,695-699,
42319,accepted,1983-03-10,6666.67,2013-06,CA,12.69,695-699,0.0
81914,pending,1990-09-01,6250.0,2010-08,AL,10.16,700-704,
97954,accepted,1984-23-04,2916.67,2010-08,CA,19.05,670-674,0.0
41074,accepted,1979-25-12,6100.0,2006-09,MO,6.03,745-749,0.0
30600,accepted,1991-26-07,7500.0,2013-05,OH,16.89,675-679,0.0
4909,pending,1988-04-06,5000.0,2015-09,WI,8.59,740-744,
63340,accepted,1989-11-07,2000.0,2015-07,AR,18.49,660-664,0.0
35313,accepted,1987-27-09,6541.67,2015-09,GA,12.69,730-734,0.0
45225,accepted,1982-12-12,8333.33,2014-01,IL,13.11,745-749,0.0
98090,accepted,1987-22-01,5416.67,2006-01,KY,15.80,700-704,0.0
71142,pending,1992-30-03,6000.0,2015-05,AZ,19.05,675-679,
5282,accepted,1981-08-06,5000.0,2013-12,NJ,19.47,665-669,1.0
52333,accepted,1980-26-05,4916.67,2012-05,CO,8.90,730-734,0.0
15274,accepted,1986-24-01,5733.58,2013-06,WA,6.17,745-749,0.0
32037,accepted,1979-13-04,4000.0,2006-04,OH,10.59,755-759,0.0
6528,accepted,1979-27-07,11666.67,2006-09,CA,11.48,790-794,0.0
10487,accepted,1983-26-11,5708.33,2009-05,MA,7.88,725-729,0.0
64690,accepted,1987-12-10,2666.67,2006-02,UT,14.09,670-674,1.0
66605,accepted,1991-05-12,3750.0,2013-01,CA,15.80,665-669,0.0
18512,accepted,1987-26-09,4186.0,2013-05,CA,14.83,685-689,0.0
1173,accepted,1977-30-10,7583.33,2006-09,AZ,8.00,750-754,0.0
22150,accepted,1974-13-10,15416.67,2006-09,FL,10.00,715-719,0.0
104008,accepted,1995-24-05,9166.67,2013-10,TX,13.98,700-704,0.0
4665,pending,1980-24-02,4750.0,2012-02,TX,8.94,750-754,
43053,accepted,1978-15-06,4541.67,2007-05,MN,7.90,730-734,0.0
59192,accepted,1979-09-08,4625.0,2006-11,TX,7.90,755-759,0.0
80538,accepted,1983-23-10,6583.33,2015-09,CA,12.12,690-694,1.0
78519,accepted,1990-19-12,2666.67,2015-12,TX,13.11,690-694,1.0
48236,accepted,1985-27-10,4500.0,2010-11,IL,7.90,735-739,0.0
51833,accepted,1991-12-12,2254.0,,CA,8.90,700-704,0.0
69446,accepted,1975-08-06,6583.33,2006-06,MN,14.09,690-694,0.0
18161,accepted,1985-11-09,25000.0,2008-03,IL,14.09,675-679,1.0
78856,accepted,1997-18-03,2000.0,2015-01,MO,17.77,665-669,1.0
48412,accepted,1981-06-12,10416.67,2009-09,CA,13.11,730-734,0.0
60192,pending,1980-31-10,6000.0,2009-04,MD,10.16,705-709,
97275,accepted,1996-16-04,6083.33,2014-02,GA,13.11,680-684,0.0
103218,accepted,1984-29-11,7916.67,2010-07,AZ,11.14,760-764,0.0
39722,accepted,1975-13-11,3750.0,2006-02,CA,10.65,725-729,0.0
54880,accepted,1987-14-09,6666.67,2007-09,OH,15.31,685-689,1.0
81508,pending,1981-07-04,5000.0,2006-12,NH,12.12,710-714,
98671,accepted,1988-20-12,1333.33,2015-06,UT,22.47,665-669,0.0
80765,accepted,1978-11-09,6750.0,2008-05,AR,7.90,720-724,0.0
103835,accepted,1984-16-11,1750.0,2014-01,NY,18.67,660-664,0.0
59041,accepted,1994-18-01,6250.0,2015-07,AL,6.03,750-754,0.0
62747,accepted,1990-13-08,4166.67,2013-11,NY,12.12,710-714,0.0
34051,accepted,1991-08-11,1500.0,2012-07,CA,7.51,730-734,0.0
99360,accepted,1983-31-07,4000.0,2008-05,VT,24.89,665-669,0.0
79126,pending,1986-18-10,3750.0,2015-10,AR,12.12,690-694,
103249,accepted,1997-09-01,2530.0,2015-12,VA,15.31,670-674,0.0
43700,accepted,1985-07-02,5500.0,2007-03,NY,19.91,660-664,0.0
83155,accepted,1987-13-07,3941.58,2014-09,MD,14.33,670-674,1.0
16446,accepted,1984-08-05,6000.0,2006-03,TX,20.77,665-669,0.0
84110,accepted,1987-14-02,2666.67,,NY,14.09,665-669,1.0
2807,pending,1989-29-10,3500.0,2014-08,MI,12.84,750-754,
94386,pending,1992-14-03,1779.17,2013-12,CT,13.11,720-724,
49074,accepted,1991-15-09,2083.33,2013-03,KS,13.67,680-684,1.0
88558,accepted,1989-05-02,6666.67,2010-08,NY,10.16,685-689,1.0
31714,accepted,1994-02-09,3333.33,2015-01,IL,6.99,760-764,0.0
68991,accepted,1992-08-01,8833.33,2015-07,TX,18.49,700-704,0.0
75034,accepted,1975-30-06,5250.0,2006-01,GA,16.29,695-699,0.0
4532,accepted,1976-28-04,5166.67,2006-08,OH,7.74,750-754,0.0
67649,pending,1986-14-11,5833.33,2015-01,MI,16.29,680-684,
34983,accepted,1989-06-12,5750.0,2008-07,IL,6.62,750-754,0.0
4168,accepted,1987-05-05,10167.0,2006-05,PA,8.59,790-794,0.0
13020,accepted,1991-31-01,8416.67,2013-03,NY,10.75,740-744,0.0
28402,accepted,1986-30-04,4166.67,2006-06,FL,8.49,715-719,0.0
82112,accepted,1994-06-05,5000.0,2014-03,FL,12.12,710-714,0.0
74368,accepted,1980-12-03,3500.0,2011-11,IL,7.90,725-729,0.0
5838,accepted,1985-27-08,4200.0,2009-04,AK,8.94,760-764,0.0
24085,accepted,1989-27-09,8237.5,2010-12,MD,7.49,730-734,0.0
102519,accepted,1991-12-12,3750.0,2010-12,AL,11.03,685-689,0.0
85220,accepted,1991-20-09,2400.0,2015-06,UT,10.16,705-709,0.0
29422,accepted,1981-20-03,2880.0,2008-01,AL,16.89,670-674,1.0
12751,accepted,1989-15-02,4000.0,2012-11,NY,14.35,675-679,1.0
96028,accepted,1993-01-11,5083.33,2012-09,KS,14.09,670-674,0.0
104202,accepted,1984-31-12,5291.67,2011-12,IL,15.57,700-704,0.0
10096,accepted,1991-16-11,5000.0,2011-03,IL,14.59,665-669,1.0
51445,accepted,1991-14-10,3750.0,2010-09,NY,16.29,665-669,0.0
30184,accepted,1991-23-03,3000.0,2014-10,TX,5.99,750-754,0.0
48402,accepted,1977-04-02,14166.67,2008-09,MA,14.65,720-724,0.0
50781,accepted,1993-04-07,5000.0,2014-10,NY,7.90,730-734,0.0
8378,accepted,1983-30-10,7083.33,2008-02,TX,10.99,800-804,0.0
16672,accepted,1989-17-06,7695.08,2007-05,DC,9.62,805-809,0.0
56643,accepted,1980-06-09,8083.33,2011-05,NY,20.50,680-684,1.0
65889,accepted,1994-15-08,8315.67,2014-10,CA,7.62,730-734,0.0
18439,accepted,1986-01-02,65000.0,2009-06,MD,6.91,725-729,0.0
79217,accepted,1995-08-02,7666.67,2014-08,MA,17.77,695-699,0.0
83672,accepted,1982-06-06,5250.0,2010-10,CA,15.31,690-694,0.0
97016,accepted,1982-17-08,4341.67,2009-08,IL,10.16,695-699,0.0
16867,accepted,1986-17-01,2916.67,2013-12,NJ,10.36,715-719,0.0
73664,accepted,1987-24-10,4025.67,2011-12,IL,17.27,665-669,1.0
42222,pending,1992-09-01,4480.0,2015-12,IL,15.27,670-674,
24026,accepted,1985-02-10,2917.0,2015-12,AR,17.49,665-669,0.0
68139,accepted,1995-24-06,6625.0,2013-07,MD,17.77,685-689,0.0
101715,accepted,1986-11-03,3416.67,2015-05,NY,11.54,670-674,1.0
32974,accepted,1989-29-10,2083.33,2013-12,CA,12.69,715-719,0.0
19091,accepted,1991-30-06,3500.0,2011-09,VA,10.74,715-719,0.0
57072,accepted,1979-04-02,4166.67,2010-01,NY,13.99,720-724,0.0
82788,accepted,1994-27-10,2166.67,2013-06,MI,15.80,665-669,0.0
33093,pending,1995-28-02,3000.0,,FL,6.62,780-784,
28534,accepted,1977-11-08,5416.67,2006-02,IL,16.49,705-709,0.0
22444,accepted,1996-07-09,7916.67,2015-08,NC,13.06,690-694,0.0
95117,accepted,1985-07-09,5250.0,2011-02,CA,16.29,670-674,0.0
30817,pending,1974-29-03,5000.0,2006-01,OR,17.49,705-709,
84180,pending,1981-02-12,5002.33,2006-04,WA,18.75,675-679,
35299,accepted,1990-15-04,3100.0,2014-10,MI,11.71,685-689,1.0
99867,accepted,1985-30-03,6750.0,2006-07,CA,17.27,675-679,1.0
16487,pending,1983-19-09,1800.0,2015-04,GA,10.36,730-734,
84283,accepted,1989-18-07,3750.0,2013-04,CA,15.31,680-684,1.0
83786,accepted,1982-04-02,5000.0,2006-12,NY,15.80,670-674,0.0
85172,accepted,1989-06-04,2916.67,2011-03,CA,6.03,750-754,0.0
41190,accepted,1985-24-09,5416.67,2006-07,IL,11.71,745-749,0.0
102580,accepted,1974-05-06,3750.0,2006-12,IA,14.12,655-659,0.0
57127,accepted,1979-24-08,8333.33,2011-01,AZ,19.99,690-694,0.0
70843,accepted,1981-24-02,3500.0,2012-01,CA,14.09,690-694,0.0
73060,accepted,1986-19-07,7125.0,2011-06,MA,6.62,775-779,0.0
88845,accepted,1978-29-11,4166.67,2008-12,CO,8.90,750-754,0.0
1031,accepted,1994-14-09,3333.0,2014-07,CA,12.92,665-669,0.0
14556,accepted,1985-21-12,2500.0,2010-09,CA,18.67,660-664,1.0
8549,accepted,1986-14-04,4500.0,2012-07,KY,9.88,730-734,0.0
61042,accepted,1985-06-06,16083.33,2008-12,SC,6.62,800-804,0.0
13096,accepted,1979-04-04,2738.67,2008-08,KY,10.38,755-759,0.0
70987,accepted,1979-27-03,12083.33,2006-09,TX,7.90,790-794,0.0
70752,accepted,1986-15-06,4800.0,2011-09,NJ,14.33,685-689,0.0
35935,accepted,1974-05-10,3166.67,,OH,9.91,750-754,0.0
68413,pending,1989-14-08,3726.67,2011-11,FL,19.05,695-699,
74613,accepted,1996-18-04,5833.33,2015-09,PA,13.11,685-689,0.0
82673,accepted,1988-31-07,12083.33,2006-05,VA,7.90,770-774,0.0
56341,accepted,1982-10-02,1916.67,2011-07,FL,7.90,705-709,0.0
32601,pending,1979-07-04,6250.0,2010-02,NJ,7.90,795-799,
25674,accepted,1988-08-01,5666.67,2013-01,NY,12.99,715-719,0.0
73376,accepted,1977-01-09,7750.0,2006-08,NY,11.14,685-689,0.0
89741,accepted,1994-22-04,3083.33,2012-04,MA,17.77,665-669,0.0
33667,accepted,1991-25-11,9000.0,2009-09,MA,14.27,705-709,0.0
88438,pending,1986-01-02,6000.0,2006-01,MA,20.49,660-664,
77788,accepted,1994-29-11,1500.0,2015-05,SC,14.33,740-744,0.0
40131,accepted,1986-08-08,4166.67,2015-12,VA,11.71,680-684,0.0
36163,accepted,1988-22-05,5500.0,2013-05,FL,9.91,730-734,0.0
52543,accepted,1986-06-06,12083.33,2011-04,PA,6.03,785-789,0.0
27201,accepted,1982-03-12,3583.33,2014-04,GA,11.99,755-759,0.0
60064,pending,1983-08-04,7965.0,2009-07,VA,19.72,665-669,
39439,accepted,1976-15-07,4416.67,2006-03,CA,15.96,665-669,0.0
98321,accepted,1994-02-08,3033.33,2012-03,WA,20.49,660-664,0.0
61683,accepted,1989-25-02,6000.0,2008-04,RI,14.09,685-689,0.0
101987,accepted,1983-02-01,4350.0,2006-10,IL,10.46,680-684,0.0
81939,accepted,1981-22-06,5666.67,2006-05,MN,19.72,700-704,0.0
9885,accepted,1990-18-03,8583.0,2015-02,CA,14.22,670-674,1.0
19235,accepted,1979-25-08,6400.0,2008-02,TX,5.79,730-734,0.0
73893,accepted,1987-28-04,2916.67,2012-07,NY,15.31,670-674,1.0
65788,accepted,1979-20-05,8333.33,2006-05,FL,15.31,710-714,0.0
70001,accepted,1986-20-12,5166.67,2012-09,AL,12.12,710-714,0.0
14243,accepted,1978-25-04,5000.0,2006-11,NM,10.38,755-759,0.0
16597,accepted,1978-18-11,4166.67,2006-11,WI,5.79,780-784,0.0
14355,pending,1981-06-08,2944.0,2010-03,CA,11.49,715-719,
85461,accepted,1983-07-03,6091.83,2013-07,NV,10.16,710-714,0.0
76503,accepted,1981-06-11,4583.33,2006-03,IL,19.05,685-689,1.0
71743,accepted,1985-25-08,3113.83,2012-09,TX,12.12,690-694,0.0
66429,accepted,1983-01-11,4583.33,2009-09,FL,22.47,660-664,1.0
18916,accepted,1980-14-12,7466.83,2012-10,NH,5.42,785-789,0.0
40840,accepted,1978-25-01,2298.75,2006-07,NC,7.90,720-724,0.0
49985,accepted,1990-29-05,3750.0,2014-05,TX,12.12,720-724,0.0
91018,accepted,1975-07-07,5000.0,2006-05,OH,15.31,710-714,0.0
46016,accepted,1988-04-02,6125.0,2011-03,LA,22.78,675-679,0.0
20772,accepted,1993-07-07,2080.0,2013-06,CA,11.11,690-694,0.0
7006,accepted,1986-23-01,4000.0,2009-07,CA,17.04,685-689,1.0
17832,accepted,1993-16-07,12833.33,2014-07,WI,12.61,675-679,0.0
82746,accepted,1992-18-10,4583.33,2014-02,OK,15.80,675-679,1.0
28147,pending,1991-15-09,2000.0,2015-11,NJ,10.99,690-694,
46059,accepted,1987-09-07,3333.33,2011-03,CA,18.25,690-694,0.0
29858,accepted,1988-04-12,5000.0,2013-07,PA,5.99,790-794,0.0
18553,accepted,1984-31-12,3275.0,2007-03,IL,9.62,710-714,0.0
72582,accepted,1976-25-11,6800.0,2006-02,WA,12.12,675-679,1.0
30718,accepted,1981-26-08,15583.33,2010-10,AZ,13.49,760-764,0.0
50460,accepted,1997-28-11,3250.0,,WV,14.65,670-674,0.0
66149,accepted,1991-10-11,3168.0,2015-01,IL,10.16,715-719,0.0
41523,accepted,1980-13-11,7083.33,2011-02,CA,7.90,740-744,0.0
76858,accepted,1982-05-12,3333.33,2012-12,VA,17.77,675-679,0.0
91738,accepted,1975-08-11,7916.67,2006-06,OK,13.11,695-699,0.0
21508,accepted,1987-04-06,3678.08,2012-02,CA,13.06,710-714,0.0
