longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,NEAR BAY
-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,NEAR BAY
-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,NEAR BAY
-122.22,37.77,40.0,494.0,114.0,547.0,135.0,2.8015,NEAR BAY
-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,NEAR BAY
-122.2,37.77,41.0,1547.0,415.0,1024.0,341.0,2.0562,NEAR BAY
-122.18,37.79,39.0,617.0,95.0,236.0,106.0,5.2578,NEAR BAY
-122.17,37.77,30.0,3326.0,746.0,1704.0,703.0,2.875,NEAR BAY
-122.18,37.78,43.0,1985.0,440.0,1085.0,407.0,3.4205,NEAR BAY
-122.17,37.78,52.0,653.0,128.0,296.0,121.0,4.175,NEAR BAY
-122.16,37.77,48.0,977.0,194.0,446.0,180.0,4.7708,NEAR BAY
-122.16,37.77,39.0,1583.0,349.0,857.0,316.0,3.0958,NEAR BAY
-122.17,37.76,41.0,1594.0,367.0,1074.0,355.0,1.9356,NEAR BAY
-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,2.1842,NEAR BAY
-122.18,37.76,43.0,2018.0,408.0,1111.0,367.0,1.8913,NEAR BAY
-122.19,37.76,49.0,1368.0,282.0,790.0,269.0,1.7056,NEAR BAY
-122.19,37.76,38.0,1493.0,370.0,1144.0,351.0,0.7683,NEAR BAY
-122.19,37.75,28.0,856.0,189.0,435.0,162.0,0.8012,NEAR BAY
-122.19,37.73,45.0,1528.0,291.0,801.0,287.0,1.2625,NEAR BAY
-122.18,37.73,42.0,909.0,215.0,646.0,198.0,2.9063,NEAR BAY
-122.18,37.73,43.0,1391.0,293.0,855.0,285.0,2.5192,NEAR BAY
-122.17,37.74,41.0,1613.0,445.0,1481.0,414.0,2.4028,NEAR BAY
-122.18,37.75,46.0,941.0,218.0,621.0,195.0,1.325,NEAR BAY
-122.17,37.76,33.0,1280.0,307.0,999.0,286.0,2.5625,NEAR BAY
-122.17,37.75,41.0,1257.0,271.0,828.0,230.0,2.5043,NEAR BAY
-122.16,37.76,45.0,2299.0,514.0,1437.0,484.0,2.5122,NEAR BAY
-122.16,37.75,38.0,2457.0,624.0,1516.0,482.0,1.5625,NEAR BAY
-122.16,37.76,46.0,1827.0,307.0,881.0,302.0,4.6696,NEAR BAY
-122.17,37.74,34.0,1223.0,281.0,824.0,280.0,2.2917,NEAR BAY
-122.16,37.74,47.0,824.0,223.0,533.0,166.0,2.625,NEAR BAY
-122.29,37.9,49.0,1283.0,238.0,576.0,236.0,3.3333,NEAR BAY
-122.3,37.89,46.0,1520.0,402.0,815.0,375.0,2.8036,NEAR BAY
-122.3,37.9,15.0,5083.0,1212.0,2420.0,1146.0,4.5824,NEAR BAY
-122.34,37.88,37.0,3061.0,930.0,2556.0,924.0,1.7375,NEAR BAY
-122.28,37.88,52.0,1844.0,332.0,769.0,334.0,4.2614,NEAR BAY
-122.27,37.89,52.0,3046.0,373.0,975.0,365.0,8.8342,NEAR BAY
-122.28,37.9,52.0,2261.0,328.0,819.0,335.0,4.9083,NEAR BAY
-122.26,37.89,52.0,3078.0,494.0,1005.0,462.0,6.381,NEAR BAY
-122.25,37.89,37.0,3000.0,457.0,987.0,450.0,7.5385,NEAR BAY
-122.25,37.89,42.0,2863.0,460.0,1031.0,448.0,6.7138,NEAR BAY
-122.27,37.88,52.0,1693.0,391.0,669.0,367.0,3.5417,NEAR BAY
-122.28,37.88,52.0,2495.0,491.0,1058.0,464.0,4.1429,NEAR BAY
-122.28,37.88,52.0,1193.0,200.0,506.0,207.0,4.1912,NEAR BAY
-122.29,37.88,52.0,1650.0,395.0,841.0,380.0,3.556,NEAR BAY
-122.3,37.88,52.0,409.0,97.0,208.0,98.0,1.6971,NEAR BAY
-122.3,37.87,52.0,3123.0,749.0,1695.0,684.0,2.2208,NEAR BAY
-122.28,37.87,46.0,3022.0,696.0,1293.0,675.0,2.543,NEAR BAY
-122.26,37.88,52.0,1149.0,255.0,483.0,249.0,4.2788,NEAR BAY
-122.28,37.86,52.0,938.0,195.0,393.0,189.0,3.8594,NEAR BAY
-122.29,37.87,46.0,1267.0,324.0,792.0,321.0,2.525,NEAR BAY
-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,NEAR BAY
-122.27,37.86,52.0,834.0,186.0,494.0,175.0,3.15,NEAR BAY
-122.27,37.86,52.0,2307.0,583.0,1127.0,548.0,1.8447,NEAR BAY
-122.26,37.86,52.0,3497.0,832.0,1493.0,794.0,2.9044,NEAR BAY
-122.26,37.86,52.0,3774.0,744.0,1461.0,679.0,2.9405,NEAR BAY
-122.28,37.85,48.0,2063.0,484.0,1054.0,466.0,2.2625,NEAR BAY
-122.22,37.82,42.0,2991.0,335.0,1018.0,335.0,13.499,NEAR BAY
-122.23,37.82,52.0,3051.0,381.0,1005.0,369.0,8.1872,NEAR BAY
-122.23,37.82,52.0,3494.0,396.0,1192.0,383.0,12.3804,NEAR BAY
-122.24,37.83,52.0,1757.0,246.0,585.0,227.0,5.8948,NEAR BAY
-122.23,37.82,52.0,1611.0,203.0,556.0,179.0,8.7477,NEAR BAY
-122.24,37.82,52.0,3665.0,517.0,1470.0,520.0,6.155,NEAR BAY
-122.24,37.77,52.0,1711.0,386.0,885.0,373.0,3.6417,NEAR BAY
-122.25,37.77,52.0,1038.0,220.0,482.0,215.0,3.1771,NEAR BAY
-122.25,37.77,52.0,859.0,157.0,429.0,158.0,4.3098,NEAR BAY
-122.27,37.77,52.0,2252.0,388.0,1033.0,434.0,5.5337,NEAR BAY
-122.27,37.77,52.0,1731.0,377.0,872.0,363.0,4.1667,NEAR BAY
-122.27,37.77,52.0,2388.0,559.0,1121.0,518.0,3.3269,NEAR BAY
-122.23,37.76,52.0,1049.0,185.0,374.0,176.0,4.1458,NEAR BAY
-122.24,37.73,21.0,7031.0,1249.0,2930.0,1235.0,4.5213,NEAR BAY
-122.25,37.76,52.0,2876.0,648.0,1340.0,632.0,3.567,NEAR BAY
-122.27,37.74,28.0,6909.0,1554.0,2974.0,1484.0,3.6875,NEAR BAY
-122.28,37.75,20.0,1156.0,365.0,583.0,326.0,3.1972,NEAR BAY
-122.06,37.73,5.0,3596.0,467.0,1738.0,512.0,7.0568,NEAR BAY
-122.07,37.71,36.0,2879.0,480.0,1235.0,455.0,4.9801,NEAR BAY
-122.09,37.71,35.0,2663.0,387.0,1086.0,367.0,5.1498,NEAR BAY
-122.1,37.72,30.0,2599.0,366.0,922.0,350.0,5.8382,NEAR BAY
-122.1,37.69,30.0,3115.0,625.0,1444.0,568.0,3.7222,NEAR BAY
-122.09,37.7,30.0,1751.0,269.0,731.0,263.0,6.005,NEAR BAY
-122.07,37.7,39.0,1420.0,272.0,645.0,277.0,4.125,NEAR BAY
-122.08,37.7,25.0,3402.0,758.0,1645.0,710.0,3.4934,NEAR BAY
-122.09,37.69,20.0,4296.0,817.0,1732.0,800.0,4.8036,NEAR BAY
-122.14,37.73,51.0,2619.0,403.0,922.0,393.0,4.6042,NEAR BAY
-122.15,37.74,52.0,1394.0,223.0,545.0,230.0,3.95,NEAR BAY
-122.15,37.73,45.0,3758.0,819.0,1573.0,736.0,2.8355,NEAR BAY
-122.18,37.71,45.0,726.0,147.0,519.0,135.0,3.375,NEAR BAY
-122.17,37.71,38.0,890.0,200.0,481.0,198.0,3.244,NEAR BAY
-122.18,37.7,36.0,2639.0,533.0,1209.0,519.0,4.0268,NEAR BAY
-122.19,37.71,36.0,361.0,69.0,158.0,58.0,5.5461,NEAR BAY
-122.17,37.72,46.0,1369.0,284.0,766.0,289.0,3.5313,NEAR BAY
-122.17,37.72,5.0,1692.0,398.0,814.0,328.0,3.663,NEAR BAY
-122.17,37.72,43.0,3783.0,814.0,2139.0,789.0,4.0202,NEAR BAY
-122.14,37.72,45.0,1397.0,253.0,555.0,248.0,2.983,NEAR BAY
-122.13,37.71,44.0,1613.0,339.0,776.0,346.0,3.1103,NEAR BAY
-122.15,37.71,18.0,5778.0,1526.0,2441.0,1352.0,3.1682,NEAR BAY
-122.15,37.71,36.0,998.0,178.0,531.0,183.0,4.0208,NEAR BAY
-122.15,37.7,36.0,1468.0,252.0,733.0,229.0,3.4583,NEAR BAY
-122.18,37.68,5.0,2087.0,407.0,840.0,401.0,5.4858,NEAR BAY
-122.12,37.7,41.0,3495.0,787.0,1849.0,750.0,2.679,NEAR BAY
-122.11,37.7,23.0,1689.0,461.0,828.0,443.0,2.1552,NEAR BAY
-122.11,37.7,29.0,1298.0,306.0,835.0,338.0,2.3274,NEAR BAY
-122.11,37.7,19.0,2693.0,789.0,1765.0,724.0,2.4206,NEAR BAY
-122.12,37.69,10.0,2227.0,560.0,1140.0,472.0,2.3973,NEAR BAY
-122.04,37.63,21.0,1307.0,236.0,586.0,249.0,4.7813,NEAR BAY
-122.04,37.65,10.0,8299.0,1326.0,3827.0,1288.0,6.2579,NEAR BAY
-122.08,37.67,29.0,493.0,168.0,233.0,152.0,0.9637,NEAR BAY
-122.1,37.68,31.0,1892.0,428.0,1162.0,389.0,3.125,NEAR BAY
-122.12,37.68,40.0,1553.0,253.0,724.0,267.0,4.38,NEAR BAY
-122.13,37.68,43.0,1676.0,340.0,924.0,328.0,3.6,NEAR BAY
-122.13,37.67,40.0,1748.0,318.0,914.0,317.0,3.8676,NEAR BAY
-122.11,37.67,38.0,1035.0,247.0,599.0,224.0,3.0917,NEAR BAY
-122.09,37.67,39.0,2069.0,500.0,1408.0,478.0,3.1115,NEAR BAY
-122.08,37.65,17.0,5018.0,1439.0,3069.0,1299.0,2.7694,NEAR BAY
-122.1,37.66,35.0,686.0,142.0,480.0,149.0,3.875,NEAR BAY
-122.1,37.66,36.0,1305.0,225.0,768.0,234.0,4.275,NEAR BAY
-122.1,37.65,25.0,2538.0,494.0,1185.0,501.0,4.5417,NEAR BAY
-122.1,37.64,28.0,1784.0,311.0,735.0,278.0,4.6635,NEAR BAY
-122.11,37.64,31.0,1487.0,280.0,854.0,301.0,5.2312,NEAR BAY
-122.09,37.63,34.0,1457.0,242.0,735.0,249.0,3.9167,NEAR BAY
-122.1,37.63,29.0,2172.0,435.0,1377.0,408.0,3.7895,NEAR BAY
-122.08,37.64,36.0,1116.0,199.0,662.0,226.0,5.7309,NEAR BAY
-122.07,37.64,25.0,4524.0,860.0,2426.0,862.0,4.7083,NEAR BAY
-122.06,37.64,37.0,1468.0,304.0,1038.0,282.0,4.1652,NEAR BAY
-122.06,37.65,33.0,1227.0,286.0,848.0,291.0,3.8036,NEAR BAY
-122.03,37.61,37.0,1383.0,259.0,808.0,241.0,4.0125,NEAR BAY
-122.07,37.63,24.0,2329.0,465.0,1401.0,453.0,4.5913,NEAR BAY
-122.05,37.61,16.0,1642.0,346.0,705.0,351.0,2.8971,NEAR BAY
-122.09,37.63,36.0,1570.0,274.0,992.0,249.0,5.3644,NEAR BAY
-122.08,37.61,26.0,2261.0,443.0,1039.0,395.0,3.7931,NEAR BAY
-122.02,37.6,36.0,1633.0,345.0,1382.0,338.0,3.694,NEAR BAY
-122.03,37.61,33.0,1518.0,302.0,831.0,268.0,5.097,NEAR BAY
-122.04,37.6,17.0,3314.0,638.0,1873.0,602.0,4.3875,NEAR BAY
-122.07,37.58,16.0,1644.0,251.0,1033.0,267.0,6.5116,NEAR BAY
-122.05,37.59,15.0,6243.0,1273.0,3163.0,1274.0,3.7462,NEAR BAY
-122.03,37.59,16.0,4371.0,889.0,2530.0,817.0,4.6786,NEAR BAY
-122.02,37.58,15.0,3052.0,760.0,2097.0,728.0,3.3617,NEAR BAY
-122.09,37.6,36.0,385.0,94.0,295.0,92.0,2.9706,NEAR BAY
-122.01,37.55,26.0,2068.0,532.0,1434.0,495.0,3.3008,NEAR BAY
-121.94,37.53,33.0,2095.0,342.0,941.0,304.0,5.761,<1H OCEAN
-121.96,37.54,14.0,5106.0,1207.0,2738.0,1108.0,3.9909,<1H OCEAN
-121.99,37.54,26.0,2332.0,371.0,1285.0,404.0,5.388,<1H OCEAN
-121.99,37.54,18.0,3584.0,715.0,1673.0,661.0,3.9444,<1H OCEAN
-122.0,37.54,29.0,4133.0,744.0,2023.0,749.0,5.1616,<1H OCEAN
-121.96,37.51,22.0,5811.0,1125.0,3215.0,1086.0,4.4107,<1H OCEAN
-121.92,37.53,7.0,28258.0,3864.0,12203.0,3701.0,8.4045,<1H OCEAN
-122.04,37.53,25.0,4458.0,922.0,2998.0,890.0,3.9667,NEAR BAY
-122.06,37.54,20.0,6483.0,1068.0,3526.0,1060.0,5.0838,NEAR BAY
-122.03,37.53,18.0,1746.0,437.0,1268.0,404.0,3.256,NEAR BAY
-121.93,37.72,26.0,3816.0,637.0,1935.0,642.0,4.4697,<1H OCEAN
-121.93,37.72,26.0,2806.0,459.0,1453.0,444.0,4.9107,<1H OCEAN
-121.92,37.68,23.0,1655.0,223.0,706.0,219.0,7.2211,<1H OCEAN
-121.91,37.69,23.0,2179.0,308.0,926.0,299.0,5.9345,<1H OCEAN
-121.88,37.67,16.0,4070.0,624.0,1543.0,577.0,6.5214,INLAND
-121.88,37.67,25.0,2244.0,301.0,937.0,324.0,6.4524,INLAND
-121.88,37.66,29.0,2702.0,680.0,1360.0,642.0,3.1127,INLAND
-121.87,37.66,39.0,522.0,116.0,161.0,102.0,2.4896,INLAND
-121.87,37.66,52.0,775.0,134.0,315.0,123.0,5.0677,INLAND
-121.88,37.64,20.0,1309.0,184.0,514.0,172.0,10.9506,INLAND
-121.85,37.72,43.0,228.0,40.0,83.0,42.0,10.3203,INLAND
-121.86,37.7,13.0,9621.0,1344.0,4389.0,1391.0,6.6827,INLAND
-121.77,37.74,25.0,494.0,81.0,254.0,85.0,9.1531,INLAND
-121.76,37.69,29.0,3433.0,711.0,1919.0,709.0,3.3841,INLAND
-121.79,37.69,25.0,6296.0,1082.0,3200.0,1047.0,4.5357,INLAND
-121.75,37.69,26.0,2647.0,536.0,1422.0,522.0,3.7212,INLAND
-121.76,37.68,52.0,2157.0,418.0,929.0,419.0,3.7301,INLAND
-121.76,37.67,6.0,3023.0,518.0,1225.0,468.0,6.3705,INLAND
-120.59,38.45,13.0,2944.0,558.0,1091.0,466.0,3.0,INLAND
-120.55,38.45,17.0,2277.0,474.0,767.0,356.0,2.5208,INLAND
-120.25,38.55,15.0,4403.0,891.0,1103.0,433.0,3.0125,INLAND
-120.8,38.51,23.0,1001.0,195.0,369.0,157.0,3.125,INLAND
-120.97,38.42,16.0,1748.0,322.0,4930.0,287.0,4.3029,INLAND
-120.87,38.37,28.0,3998.0,765.0,1614.0,698.0,2.8125,INLAND
-120.62,38.39,15.0,3750.0,691.0,1444.0,603.0,2.7399,INLAND
-121.84,39.76,14.0,2351.0,620.0,1215.0,548.0,2.3155,INLAND
-121.86,39.76,19.0,7254.0,1785.0,4030.0,1667.0,2.0094,INLAND
-121.87,39.74,7.0,1737.0,290.0,747.0,265.0,3.9,INLAND
-121.85,39.74,41.0,2901.0,689.0,1426.0,632.0,1.5633,INLAND
-121.86,39.74,13.0,3494.0,843.0,1571.0,784.0,1.1019,INLAND
-121.82,39.75,29.0,7744.0,1375.0,3316.0,1365.0,3.0253,INLAND
-121.82,39.73,44.0,2923.0,659.0,1371.0,626.0,2.2925,INLAND
-121.83,39.73,52.0,1741.0,401.0,753.0,377.0,2.0064,INLAND
-121.82,39.72,42.0,2978.0,694.0,1879.0,679.0,1.5064,INLAND
-121.58,39.83,16.0,4591.0,904.0,1904.0,812.0,2.2419,INLAND
-121.6,39.8,10.0,1742.0,307.0,721.0,312.0,2.4537,INLAND
-121.61,39.77,25.0,1612.0,313.0,837.0,303.0,2.963,INLAND
-121.59,39.77,24.0,1535.0,276.0,664.0,273.0,2.3068,INLAND
-121.58,39.79,19.0,2636.0,523.0,1184.0,465.0,2.7863,INLAND
-121.6,39.76,22.0,2447.0,556.0,1157.0,556.0,1.8245,INLAND
-121.62,39.77,23.0,1759.0,366.0,788.0,359.0,1.8125,INLAND
-121.63,39.76,22.0,2598.0,482.0,1151.0,490.0,2.8182,INLAND
-121.63,39.75,37.0,1296.0,296.0,569.0,257.0,1.8616,INLAND
-121.57,39.74,17.0,1619.0,292.0,705.0,285.0,2.4623,INLAND
-121.24,39.65,35.0,632.0,148.0,221.0,102.0,2.3684,INLAND
-121.19,39.55,17.0,1483.0,284.0,481.0,211.0,1.4896,INLAND
-121.47,39.49,17.0,1554.0,242.0,553.0,230.0,3.2174,INLAND
-121.47,39.51,19.0,3720.0,636.0,1304.0,607.0,2.6921,INLAND
-121.53,39.53,35.0,1806.0,293.0,683.0,295.0,4.5156,INLAND
-121.55,39.51,48.0,827.0,198.0,396.0,161.0,0.8024,INLAND
-121.55,39.51,50.0,1050.0,288.0,485.0,260.0,1.1607,INLAND
-121.58,39.52,25.0,2409.0,490.0,1384.0,479.0,1.9956,INLAND
-121.54,39.48,29.0,2896.0,596.0,1809.0,617.0,1.8047,INLAND
-121.46,39.4,17.0,3659.0,735.0,1970.0,667.0,2.425,INLAND
-121.54,39.33,27.0,720.0,150.0,359.0,138.0,2.5313,INLAND
-121.65,39.35,24.0,1003.0,251.0,1098.0,227.0,1.7552,INLAND
-121.69,39.36,29.0,2220.0,471.0,1170.0,428.0,2.3224,INLAND
-121.7,39.37,32.0,1852.0,373.0,911.0,365.0,1.7885,INLAND
-121.7,39.36,46.0,1210.0,243.0,523.0,242.0,1.91,INLAND
-120.65,38.28,21.0,3095.0,681.0,1341.0,546.0,2.1382,INLAND
-120.43,38.25,13.0,763.0,161.0,311.0,125.0,2.4583,INLAND
-120.42,38.42,18.0,2912.0,663.0,999.0,411.0,2.7344,INLAND
-121.63,38.03,17.0,2549.0,596.0,1169.0,500.0,3.6694,INLAND
-121.72,37.98,5.0,7105.0,1143.0,3523.0,1088.0,5.0468,INLAND
-121.67,37.99,22.0,1046.0,195.0,527.0,164.0,4.375,INLAND
-121.66,37.93,19.0,2055.0,358.0,1064.0,350.0,4.7426,INLAND
-121.61,37.86,30.0,1428.0,287.0,989.0,287.0,3.691,INLAND
-121.64,37.85,22.0,1999.0,415.0,967.0,320.0,4.4583,INLAND
-121.78,38.01,19.0,2688.0,469.0,1216.0,422.0,4.4491,INLAND
-121.83,37.99,23.0,1970.0,296.0,935.0,279.0,4.4853,INLAND
-121.77,37.99,4.0,5623.0,780.0,2429.0,716.0,5.4409,INLAND
-121.86,38.04,52.0,242.0,59.0,188.0,54.0,1.3958,INLAND
-121.88,38.03,52.0,1225.0,250.0,725.0,231.0,2.0,INLAND
-121.89,38.02,36.0,2707.0,550.0,1827.0,545.0,3.3371,INLAND
-121.89,38.01,30.0,4114.0,743.0,1994.0,722.0,4.2227,INLAND
-121.92,38.01,7.0,1632.0,248.0,879.0,262.0,6.1237,INLAND
-121.92,38.03,16.0,2176.0,464.0,1410.0,434.0,3.5436,INLAND
-121.92,38.02,16.0,1840.0,355.0,1288.0,338.0,4.2067,INLAND
-122.13,38.02,52.0,2378.0,508.0,940.0,451.0,2.9583,NEAR BAY
-122.09,38.0,6.0,10191.0,1882.0,4377.0,1789.0,5.2015,NEAR BAY
-122.11,38.0,9.0,3424.0,583.0,1460.0,543.0,5.76,NEAR BAY
-122.11,37.99,10.0,2864.0,514.0,1300.0,507.0,4.3875,NEAR BAY
-122.1,37.96,20.0,3796.0,650.0,1679.0,611.0,4.3571,NEAR BAY
-122.07,37.97,20.0,1705.0,353.0,856.0,341.0,3.7262,NEAR BAY
-122.07,37.95,39.0,2199.0,388.0,1025.0,385.0,4.5893,NEAR BAY
-122.08,37.95,24.0,3173.0,548.0,1351.0,536.0,5.0672,NEAR BAY
-122.07,37.96,37.0,1217.0,199.0,552.0,194.0,5.0445,NEAR BAY
-122.05,37.94,22.0,4162.0,1194.0,1804.0,1185.0,2.5459,NEAR BAY
-122.07,37.94,36.0,2639.0,488.0,1111.0,476.0,3.5057,NEAR BAY
-122.03,37.99,35.0,3103.0,537.0,1614.0,566.0,4.9022,NEAR BAY
-121.99,37.97,22.0,2823.0,509.0,1271.0,474.0,5.1333,INLAND
-122.0,37.96,32.0,3364.0,666.0,1980.0,678.0,3.7,INLAND
-121.96,37.95,13.0,3216.0,765.0,1627.0,715.0,3.0859,INLAND
-121.97,37.95,8.0,4253.0,709.0,1883.0,662.0,5.431,INLAND
-121.98,37.96,12.0,5048.0,1122.0,2209.0,1014.0,3.1573,INLAND
-122.04,37.96,28.0,1207.0,252.0,724.0,252.0,3.6964,NEAR BAY
-122.04,37.94,24.0,5732.0,873.0,2444.0,888.0,5.6292,NEAR BAY
-122.05,37.94,22.0,2105.0,354.0,993.0,365.0,4.6602,NEAR BAY
-122.04,37.95,29.0,866.0,138.0,341.0,133.0,4.7188,NEAR BAY
-122.03,37.92,23.0,3318.0,408.0,1124.0,393.0,6.5847,NEAR BAY
-122.03,37.91,29.0,5438.0,871.0,2310.0,890.0,5.0362,NEAR BAY
-122.07,37.93,25.0,7201.0,1521.0,3264.0,1433.0,3.7433,NEAR BAY
-122.08,37.92,28.0,2377.0,469.0,1068.0,435.0,4.4561,NEAR BAY
-122.06,37.88,34.0,4781.0,703.0,1879.0,714.0,6.5378,NEAR BAY
-122.05,37.87,30.0,2296.0,329.0,847.0,322.0,6.7192,NEAR BAY
-122.05,37.9,24.0,4125.0,1020.0,1699.0,873.0,2.9526,NEAR BAY
-122.05,37.9,32.0,4498.0,862.0,1818.0,851.0,4.8088,NEAR BAY
-121.94,37.75,17.0,2559.0,370.0,1238.0,377.0,6.2781,<1H OCEAN
-121.93,37.74,16.0,3326.0,419.0,1272.0,402.0,6.8806,<1H OCEAN
-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,<1H OCEAN
-121.97,37.79,17.0,5688.0,824.0,2111.0,773.0,6.6131,<1H OCEAN
-121.98,37.8,16.0,2498.0,330.0,1027.0,343.0,8.155,<1H OCEAN
-121.98,37.81,18.0,2903.0,387.0,1127.0,372.0,5.5921,<1H OCEAN
-121.97,37.77,13.0,7241.0,1007.0,3221.0,947.0,7.2216,<1H OCEAN
-121.99,37.82,22.0,1248.0,271.0,579.0,269.0,3.375,<1H OCEAN
-122.03,37.83,24.0,5948.0,738.0,1997.0,710.0,9.8708,NEAR BAY
-121.99,37.81,17.0,465.0,83.0,146.0,75.0,4.9018,<1H OCEAN
-121.96,37.85,10.0,3209.0,379.0,1199.0,392.0,12.2478,INLAND
-122.09,37.89,35.0,880.0,139.0,352.0,132.0,6.8686,NEAR BAY
-122.11,37.88,37.0,4005.0,614.0,1602.0,606.0,6.4666,NEAR BAY
-122.13,37.87,18.0,1820.0,220.0,728.0,229.0,10.3713,NEAR BAY
-122.11,37.87,33.0,3398.0,500.0,1351.0,457.0,6.5814,NEAR BAY
-122.12,37.82,26.0,2269.0,317.0,918.0,313.0,6.6657,NEAR BAY
-122.22,37.88,20.0,95.0,13.0,31.0,15.0,2.4444,NEAR BAY
-122.18,37.91,31.0,7200.0,876.0,2428.0,843.0,10.9405,NEAR BAY
