id,Amount_Requested,Loan_Purpose,Loan_Length,Status,Debt_To_Income_Ratio,Home_Ownership,FICO,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months
29283,12000,debt_consolidation,36 months,accepted,12.85,RENT,707.0,8.0,12150.0,1.0
99766,30000,debt_consolidation,36 months,accepted,22.21,MORTGAGE,717.0,14.0,33218.0,0.0
85893,13500,debt_consolidation,36 months,accepted,31.7,RENT,682.0,11.0,31168.0,0.0
98972,9000,debt_consolidation,36 months,accepted,22.65,MORTGAGE,667.0,9.0,16480.0,0.0
44054,15000,debt_consolidation,36 months,accepted,9.16,MORTGAGE,732.0,11.0,11615.0,1.0
51948,5300,medical,36 months,accepted,12.82,RENT,727.0,8.0,9996.0,2.0
48676,7000,debt_consolidation,36 months,accepted,16.76,RENT,687.0,12.0,6444.0,1.0
82294,20000,debt_consolidation,36 months,pending,11.85,RENT,687.0,10.0,12421.0,3.0
20328,15000,debt_consolidation,60 months,accepted,13.65,RENT,707.0,4.0,12786.0,0.0
71489,8000,home_improvement,36 months,accepted,12.06,RENT,697.0,10.0,15360.0,1.0
43203,24000,debt_consolidation,60 months,accepted,3.63,RENT,697.0,6.0,8568.0,1.0
48319,7500,debt_consolidation,36 months,accepted,10.02,RENT,717.0,9.0,2382.0,0.0
5367,17000,debt_consolidation,36 months,accepted,12.7,RENT,737.0,5.0,3644.0,1.0
83768,12000,credit_card,36 months,pending,14.86,OWNER,667.0,12.0,9145.0,1.0
88084,6000,other,36 months,accepted,15.91,RENT,672.0,11.0,5760.0,1.0
101540,6725,debt_consolidation,36 months,accepted,13.16,MORTGAGE,672.0,10.0,5513.0,9.0
9664,4500,debt_consolidation,36 months,accepted,14.74,MORTGAGE,792.0,7.0,2705.0,0.0
1494,1600,other,36 months,accepted,5.36,RENT,702.0,5.0,7020.0,0.0
61703,10000,wedding,36 months,accepted,30.4,OWNER,667.0,5.0,8379.0,0.0
61576,18550,debt_consolidation,36 months,accepted,16.93,MORTGAGE,727.0,10.0,28877.0,0.0
21993,7450,debt_consolidation,36 months,accepted,3.3,MORTGAGE,712.0,2.0,6416.0,1.0
58359,3225,debt_consolidation,36 months,pending,17.79,MORTGAGE,762.0,5.0,70323.0,1.0
67335,23675,credit_card,36 months,pending,29.94,OWNER,682.0,21.0,21920.0,0.0
57080,12000,debt_consolidation,36 months,accepted,18.62,RENT,692.0,16.0,18838.0,0.0
30035,25000,debt_consolidation,36 months,accepted,18.18,RENT,697.0,9.0,10630.0,2.0
103948,16000,credit_card,36 months,accepted,17.86,MORTGAGE,727.0,7.0,18659.0,4.0
96659,4200,car,36 months,accepted,10.16,MORTGAGE,812.0,4.0,1548.0,0.0
67158,10000,debt_consolidation,36 months,accepted,21.45,RENT,677.0,11.0,8548.0,0.0
33777,6000,home_improvement,36 months,accepted,2.52,MORTGAGE,752.0,4.0,1442.0,0.0
59724,6000,debt_consolidation,36 months,accepted,15.33,RENT,687.0,7.0,12503.0,2.0
95096,7925,debt_consolidation,36 months,pending,21.25,RENT,667.0,6.0,7840.0,0.0
67629,16000,debt_consolidation,36 months,accepted,6.48,MORTGAGE,767.0,8.0,19539.0,0.0
51929,9525,small_business,36 months,accepted,11.35,RENT,672.0,15.0,5610.0,1.0
13216,6000,debt_consolidation,36 months,accepted,14.08,MORTGAGE,677.0,9.0,3621.0,3.0
103405,10000,debt_consolidation,36 months,accepted,11.5,MORTGAGE,677.0,4.0,3035.0,5.0
53271,7000,major_purchase,36 months,accepted,8.03,MORTGAGE,752.0,9.0,6761.0,1.0
25380,4500,debt_consolidation,36 months,accepted,18.48,MORTGAGE,767.0,18.0,17863.0,3.0
6987,12000,debt_consolidation,36 months,accepted,2.37,MORTGAGE,737.0,13.0,10944.0,0.0
96413,10375,debt_consolidation,36 months,accepted,4.99,RENT,667.0,9.0,6122.0,1.0
88273,4800,other,36 months,accepted,10.89,MORTGAGE,672.0,8.0,17943.0,0.0
48519,6400,credit_card,36 months,accepted,11.46,MORTGAGE,702.0,7.0,8942.0,1.0
69456,5000,debt_consolidation,36 months,accepted,17.22,OWNER,707.0,10.0,6023.0,0.0
41198,12000,credit_card,36 months,accepted,21.66,RENT,742.0,11.0,20639.0,0.0
44282,23850,other,60 months,accepted,18.75,MORTGAGE,692.0,23.0,37251.0,0.0
34122,15000,small_business,36 months,accepted,16.15,MORTGAGE,722.0,14.0,338.0,2.0
84563,8000,other,36 months,accepted,0.0,MORTGAGE,767.0,7.0,0.0,1.0
98634,20000,credit_card,36 months,accepted,18.67,MORTGAGE,717.0,9.0,29044.0,0.0
73526,20000,debt_consolidation,36 months,accepted,15.09,RENT,712.0,17.0,29756.0,2.0
82476,10000,debt_consolidation,36 months,pending,10.59,RENT,692.0,9.0,10390.0,3.0
67263,18825,credit_card,36 months,accepted,13.08,RENT,712.0,6.0,20694.0,1.0
41267,35000,small_business,36 months,accepted,1.59,RENT,777.0,10.0,1992.0,0.0
64884,9000,vacation,36 months,accepted,5.58,MORTGAGE,817.0,11.0,675.0,0.0
18452,4000,home_improvement,36 months,accepted,15.0,RENT,747.0,5.0,587.0,1.0
57866,5750,credit_card,36 months,pending,12.44,RENT,662.0,13.0,12465.0,0.0
77151,20950,debt_consolidation,36 months,pending,15.71,MORTGAGE,692.0,8.0,30188.0,1.0
25405,8000,credit_card,36 months,accepted,14.76,RENT,712.0,9.0,7120.0,2.0
85644,10000,debt_consolidation,36 months,accepted,9.3,MORTGAGE,727.0,8.0,8940.0,2.0
85686,10000,small_business,36 months,accepted,14.76,RENT,677.0,7.0,4762.0,0.0
54649,14000,credit_card,36 months,accepted,19.53,MORTGAGE,767.0,13.0,4140.0,0.0
19069,5000,credit_card,36 months,pending,3.33,RENT,737.0,3.0,12297.0,0.0
74479,25000,debt_consolidation,60 months,accepted,10.53,MORTGAGE,702.0,8.0,15159.0,1.0
76693,35000,debt_consolidation,36 months,accepted,14.62,RENT,737.0,9.0,21321.0,0.0
63266,7200,debt_consolidation,36 months,accepted,27.89,MORTGAGE,692.0,8.0,20342.0,0.0
32008,14000,debt_consolidation,60 months,accepted,9.89,MORTGAGE,762.0,17.0,23773.0,0.0
13996,15000,debt_consolidation,36 months,accepted,19.1,RENT,682.0,4.0,34044.0,1.0
80638,25000,debt_consolidation,60 months,accepted,32.1,OWNER,697.0,21.0,35208.0,1.0
36889,10800,debt_consolidation,36 months,accepted,7.89,RENT,677.0,6.0,6487.0,1.0
72169,20000,credit_card,36 months,accepted,21.44,MORTGAGE,702.0,9.0,14268.0,1.0
19548,4000,debt_consolidation,36 months,accepted,1.97,RENT,697.0,13.0,1869.0,1.0
103357,16000,debt_consolidation,36 months,pending,23.51,MORTGAGE,677.0,20.0,12721.0,5.0
59117,1400,vacation,36 months,accepted,27.14,MORTGAGE,732.0,6.0,6466.0,0.0
15427,7500,debt_consolidation,36 months,pending,12.54,MORTGAGE,667.0,3.0,6120.0,0.0
224,24625,credit_card,36 months,accepted,12.81,MORTGAGE,677.0,14.0,33698.0,0.0
85618,5000,debt_consolidation,36 months,accepted,29.02,MORTGAGE,682.0,11.0,3977.0,1.0
43436,25000,debt_consolidation,36 months,accepted,20.49,RENT,727.0,14.0,27203.0,0.0
19328,7500,debt_consolidation,36 months,pending,13.34,RENT,662.0,8.0,7430.0,0.0
65134,34500,small_business,36 months,accepted,16.46,MORTGAGE,807.0,8.0,5317.0,0.0
20263,10000,debt_consolidation,36 months,accepted,6.49,MORTGAGE,747.0,17.0,75629.0,0.0
9194,3200,debt_consolidation,36 months,accepted,6.51,RENT,742.0,7.0,3198.0,0.0
27520,5500,debt_consolidation,60 months,accepted,17.95,RENT,702.0,16.0,13256.0,0.0
45941,3000,debt_consolidation,36 months,accepted,21.82,OWNER,722.0,4.0,2413.0,0.0
69242,18000,debt_consolidation,60 months,accepted,9.05,RENT,662.0,6.0,13106.0,0.0
2633,10000,debt_consolidation,36 months,accepted,13.77,MORTGAGE,737.0,6.0,1251.0,1.0
48662,8800,credit_card,36 months,accepted,16.73,RENT,702.0,13.0,14266.0,1.0
65775,7000,debt_consolidation,36 months,accepted,23.02,MORTGAGE,707.0,17.0,19634.0,2.0
92773,8000,debt_consolidation,36 months,accepted,19.01,RENT,727.0,8.0,7554.0,1.0
33161,3000,credit_card,36 months,accepted,16.62,RENT,662.0,4.0,4136.0,0.0
37985,12000,debt_consolidation,36 months,accepted,11.91,RENT,737.0,18.0,33702.0,1.0
2791,3600,small_business,36 months,pending,0.04,RENT,727.0,4.0,1.0,0.0
81950,11625,debt_consolidation,36 months,accepted,22.84,MORTGAGE,707.0,6.0,27411.0,2.0
84215,30000,credit_card,36 months,accepted,16.7,MORTGAGE,672.0,14.0,19096.0,2.0
93352,16000,debt_consolidation,36 months,accepted,19.71,RENT,722.0,11.0,6185.0,1.0
10474,10800,major_purchase,36 months,accepted,15.32,MORTGAGE,717.0,6.0,24675.0,0.0
15717,25000,debt_consolidation,60 months,accepted,14.11,MORTGAGE,707.0,15.0,28748.0,3.0
103874,10000,other,60 months,accepted,14.86,RENT,712.0,9.0,5188.0,4.0
132,12375,small_business,36 months,pending,16.39,MORTGAE,692.0,11.0,8332.0,2.0
5169,6000,credit_card,36 months,accepted,18.2,MORTGAGE,707.0,9.0,50935.0,0.0
29812,8000,debt_consolidation,36 months,accepted,14.92,RENT,687.0,18.0,4786.0,1.0
56991,15000,credit_card,36 months,accepted,9.73,MORTGAGE,662.0,11.0,14596.0,0.0
62537,7000,other,36 months,accepted,32.25,RENT,667.0,12.0,35604.0,3.0
22858,8400,renewable_energy,36 months,accepted,13.3,RENT,747.0,9.0,6998.0,1.0
78602,15000,debt_consolidation,36 months,accepted,18.62,MORTGAGE,742.0,10.0,17212.0,0.0
93778,15000,debt_consolidation,36 months,accepted,13.3,RENT,667.0,7.0,11368.0,1.0
87504,2800,major_purchase,36 months,accepted,12.0,RENT,697.0,7.0,7261.0,0.0
92105,7750,debt_consolidation,36 months,accepted,26.74,MORTGAGE,682.0,18.0,17102.0,0.0
59387,4500,credit_card,36 months,accepted,18.18,RENT,702.0,8.0,5361.0,0.0
6067,17500,debt_consolidation,36 months,accepted,21.63,RENT,717.0,7.0,20010.0,0.0
62445,18000,debt_consolidation,60 months,accepted,4.93,RENT,712.0,6.0,11596.0,0.0
35834,15000,debt_consolidation,60 months,accepted,17.9,MORTGAGE,722.0,14.0,7956.0,1.0
24320,6000,credit_card,36 months,accepted,19.57,OWNER,667.0,13.0,8077.0,1.0
68821,11500,credit_card,36 months,accepted,28.25,RENT,702.0,6.0,9079.0,0.0
96988,10000,credit_card,36 months,accepted,7.56,RENT,687.0,8.0,10906.0,0.0
47002,12000,credit_card,36 months,accepted,12.46,RENT,727.0,5.0,13940.0,0.0
53897,10000,debt_consolidation,36 months,accepted,18.4,MORTGAGE,687.0,7.0,13202.0,0.0
40136,35000,debt_consolidation,60 months,accepted,18.21,RENT,682.0,8.0,19789.0,2.0
14952,7200,major_purchase,60 months,accepted,17.97,RENT,752.0,7.0,2753.0,1.0
40856,4000,car,60 months,accepted,4.48,OWNER,802.0,16.0,6696.0,0.0
4938,5300,debt_consolidation,36 months,accepted,8.47,MORTGAGE,742.0,5.0,73258.0,1.0
59272,1200,other,36 months,accepted,8.69,MORTGAGE,732.0,14.0,350.0,1.0
80512,2500,major_purchase,36 months,pending,10.08,RENT,722.0,4.0,4922.0,0.0
82071,17000,debt_consolidation,36 months,accepted,26.35,OWNER,702.0,21.0,39130.0,3.0
90748,16000,credit_card,36 months,pending,12.3,MORTGAGE,697.0,14.0,21913.0,1.0
42319,10000,debt_consolidation,36 months,accepted,3.8,MORTGAGE,697.0,8.0,7967.0,1.0
81914,5000,debt_consolidation,36 months,pending,24.5,MORTGAGE,702.0,9.0,33705.0,0.0
97954,4375,credit_card,36 months,accepted,9.09,RENT,672.0,9.0,6944.0,2.0
41074,8500,home_improvement,36 months,accepted,12.33,MORTGAGE,747.0,17.0,6370.0,0.0
30600,12000,small_business,60 months,accepted,15.24,MORTGAGE,677.0,14.0,28589.0,2.0
4909,6200,other,36 months,pending,19.1,RENT,742.0,17.0,9367.0,0.0
63340,7000,debt_consolidation,36 months,accepted,18.9,MORTGAGE,662.0,10.0,7315.0,2.0
35313,20800,debt_consolidation,60 months,accepted,7.08,MORTGAGE,732.0,9.0,13197.0,0.0
45225,19200,other,60 months,accepted,3.45,MORTGAGE,747.0,14.0,50625.0,3.0
98090,22000,debt_consolidation,60 months,accepted,21.32,MORTGAGE,702.0,9.0,10267.0,1.0
71142,15000,debt_consolidation,36 months,pending,24.88,RENT,677.0,12.0,12162.0,0.0
5282,7000,debt_consolidation,36 months,accepted,17.08,RENT,667.0,11.0,13859.0,0.0
52333,20000,credit_card,36 months,accepted,17.08,RENT,732.0,10.0,14952.0,2.0
15274,2000,moving,36 months,accepted,18.35,RENT,747.0,9.0,21998.0,0.0
32037,18000,major_purchase,60 months,accepted,15.03,MORTGAGE,757.0,9.0,6718.0,0.0
6528,20800,home_improvement,36 months,accepted,21.77,OWNER,792.0,6.0,682.0,1.0
10487,9000,debt_consolidation,36 months,accepted,14.51,MORTGAGE,727.0,9.0,12217.0,0.0
64690,6000,credit_card,36 months,accepted,22.5,RENT,672.0,18.0,5955.0,0.0
66605,5000,debt_consolidation,36 months,accepted,34.2,RENT,667.0,18.0,5414.0,3.0
18512,12000,credit_card,60 months,accepted,22.31,RENT,687.0,9.0,9398.0,0.0
1173,7000,credit_card,36 months,accepted,6.36,MORTGAGE,752.0,9.0,21135.0,0.0
22150,6000,major_purchase,36 months,accepted,8.74,MORTGAGE,717.0,9.0,105730.0,1.0
104008,17000,debt_consolidation,36 months,accepted,17.65,MORTGAGE,702.0,14.0,16230.0,4.0
4665,12000,credit_card,36 months,pending,18.99,RENT,752.0,13.0,25577.0,1.0
43053,16350,credit_card,36 months,accepted,25.03,OWNER,732.0,7.0,25731.0,0.0
59192,20000,debt_consolidation,36 months,accepted,20.04,MORTGAGE,757.0,14.0,31335.0,1.0
80538,12300,debt_consolidation,36 months,accepted,10.01,RENT,692.0,15.0,12450.0,0.0
78519,4800,moving,36 months,accepted,4.61,RENT,692.0,3.0,7911.0,0.0
48236,14500,credit_card,36 months,accepted,11.96,RENT,737.0,8.0,16398.0,0.0
51833,4200,debt_consolidation,36 months,accepted,10.43,MORTGAGE,702.0,7.0,4490.0,0.0
69446,22250,credit_card,36 months,accepted,32.1,MORTGAGE,692.0,18.0,44868.0,0.0
18161,8000,home_improvement,36 months,accepted,7.68,RENT,677.0,6.0,28579.0,1.0
78856,8325,debt_consolidation,36 months,accepted,20.75,RENT,667.0,7.0,7676.0,0.0
48412,14000,debt_consolidation,36 months,accepted,8.12,OWNER,732.0,4.0,4776.0,0.0
60192,9000,debt_consolidation,36 months,pending,3.98,MORTGAGE,707.0,6.0,5659.0,0.0
97275,16000,credit_card,36 months,accepted,17.61,MORTGAGE,682.0,13.0,15148.0,0.0
103218,15200,credit_card,36 months,accepted,14.5,MORTGAGE,762.0,7.0,217827.0,2.0
39722,24000,debt_consolidation,36 months,accepted,14.8,RENT,727.0,5.0,24708.0,0.0
54880,16450,debt_consolidation,36 months,accepted,11.66,MORTGAGE,687.0,8.0,12697.0,3.0
81508,7500,home_improvement,36 months,pending,26.56,MORTGAGE,712.0,8.0,9047.0,1.0
98671,4750,debt_consolidation,36 months,accepted,24.45,RENT,667.0,9.0,4752.0,2.0
80765,6500,debt_consolidation,36 months,accepted,12.56,RENT,722.0,17.0,33229.0,0.0
103835,5500,debt_consolidation,60 months,accepted,17.71,RENT,662.0,6.0,4492.0,6.0
59041,9600,home_improvement,36 months,accepted,7.52,MORTGAGE,752.0,7.0,765.0,0.0
62747,12000,major_purchase,36 months,accepted,31.34,OWNER,712.0,21.0,28703.0,2.0
34051,2000,other,36 months,accepted,16.73,RENT,732.0,5.0,2925.0,0.0
99360,18000,moving,60 months,accepted,14.88,RENT,667.0,10.0,7377.0,3.0
79126,5825,home_improvement,36 months,pending,4.0,OWNER,692.0,4.0,5643.0,0.0
103249,2500,home_improvement,36 months,accepted,22.81,RENT,672.0,7.0,5276.0,6.0
43700,7200,other,60 months,accepted,2.0,RENT,662.0,13.0,2130.0,0.0
83155,8000,other,36 months,accepted,11.85,RENT,672.0,15.0,9660.0,0.0
16446,25000,home_improvement,60 months,accepted,19.12,MORTGAGE,667.0,17.0,12757.0,2.0
84110,2500,medical,36 months,accepted,20.95,RENT,667.0,9.0,15787.0,0.0
2807,20000,home_improvement,36 months,pending,1.49,MORTGAGE,752.0,6.0,1954.0,5.0
94386,6250,debt_consolidation,36 months,pending,28.61,RENT,722.0,19.0,7455.0,1.0
49074,12375,debt_consolidation,36 months,accepted,22.42,MORTGAGE,682.0,8.0,12226.0,0.0
88558,18000,debt_consolidation,36 months,accepted,16.71,MORTGAGE,687.0,16.0,19850.0,1.0
31714,3300,other,36 months,accepted,20.04,RENT,762.0,10.0,0.0,2.0
68991,21000,other,60 months,accepted,16.4,MORTGAE,702.0,11.0,29293.0,0.0
75034,24575,debt_consolidation,36 months,accepted,19.6,MORTGAGE,697.0,8.0,20858.0,2.0
4532,5000,other,36 months,accepted,14.4,RENT,752.0,8.0,15489.0,1.0
67649,20000,debt_consolidation,36 months,pending,23.59,MORTGAGE,682.0,14.0,12696.0,1.0
34983,13250,debt_consolidation,36 months,accepted,28.64,MORTGAGE,752.0,12.0,7174.0,3.0
4168,10000,major_purchase,36 months,accepted,2.85,MORTGAGE,792.0,9.0,16.0,3.0
13020,20000,debt_consolidation,36 months,accepted,11.37,RENT,742.0,10.0,12283.0,0.0
28402,10000,debt_consolidation,36 months,accepted,13.58,MORTGAGE,717.0,8.0,8455.0,0.0
82112,12000,debt_consolidation,36 months,accepted,14.66,MORTGAGE,712.0,11.0,13235.0,2.0
74368,8000,home_improvement,36 months,accepted,12.54,MORTGAGE,727.0,8.0,6834.0,2.0
5838,11000,credit_card,36 months,accepted,22.38,MORTGAGE,762.0,6.0,8694.0,4.0
24085,12500,debt_consolidation,36 months,accepted,14.07,RENT,732.0,15.0,13261.0,0.0
102519,7500,credit_card,36 months,accepted,11.41,MORTGAGE,687.0,15.0,5148.0,7.0
85220,4825,debt_consolidation,36 months,accepted,14.89,RENT,707.0,14.0,6109.0,1.0
29422,7550,other,36 months,accepted,21.94,RENT,672.0,2.0,1989.0,1.0
12751,8000,other,36 months,accepted,20.35,RENT,677.0,7.0,2082.0,0.0
96028,6000,debt_consolidation,36 months,accepted,15.72,RENT,672.0,11.0,10373.0,0.0
104202,8000,major_purchase,60 months,accepted,2.38,RENT,702.0,4.0,1252.0,6.0
10096,3000,debt_consolidation,36 months,accepted,24.2,MORTGAGE,667.0,6.0,5527.0,1.0
51445,8000,debt_consolidation,36 months,accepted,15.76,RENT,667.0,8.0,7374.0,1.0
30184,8400,credit_card,36 months,accepted,8.7,OWNER,752.0,6.0,6215.0,0.0
48402,35000,medical,36 months,accepted,12.2,MORTGAGE,722.0,7.0,103354.0,0.0
50781,15000,credit_card,36 months,accepted,21.54,OWNER,732.0,8.0,21555.0,0.0
8378,7500,home_improvement,36 months,accepted,7.51,MORTGAGE,802.0,9.0,2245.0,7.0
16672,24000,debt_consolidation,60 months,accepted,17.41,RENT,807.0,6.0,1502.0,0.0
56643,21000,debt_consolidation,60 months,accepted,18.42,MORTGAE,682.0,11.0,31080.0,2.0
65889,6000,debt_consolidation,36 months,accepted,9.33,RENT,732.0,8.0,6239.0,0.0
18439,4500,major_purchase,36 months,accepted,0.58,MORTGAGE,727.0,7.0,3015.0,4.0
79217,29000,debt_consolidation,36 months,accepted,15.7,RENT,697.0,11.0,23319.0,0.0
83672,20000,debt_consolidation,36 months,accepted,27.35,RENT,692.0,11.0,11343.0,1.0
97016,7000,debt_consolidation,36 months,accepted,10.76,MORTGAGE,697.0,11.0,13638.0,0.0
16867,5000,other,36 months,accepted,0.51,RENT,717.0,2.0,165.0,2.0
73664,6000,debt_consolidation,36 months,accepted,6.91,MORTGAGE,667.0,6.0,6652.0,2.0
42222,10000,wedding,36 months,pending,4.02,RENT,672.0,9.0,7614.0,2.0
24026,3200,other,36 months,accepted,1.37,RENT,667.0,4.0,1427.0,1.0
68139,23000,debt_consolidation,36 months,accepted,25.84,MORTGAGE,687.0,17.0,19870.0,1.0
101715,5000,other,36 months,accepted,10.36,RENT,672.0,17.0,15301.0,7.0
32974,3000,debt_consolidation,36 months,accepted,3.12,RENT,717.0,3.0,844.0,0.0
19091,12000,debt_consolidation,60 months,accepted,17.63,RENT,717.0,11.0,18808.0,0.0
57072,20000,debt_consolidation,60 months,accepted,31.2,RENT,722.0,9.0,8810.0,0.0
82788,1200,debt_consolidation,36 months,accepted,27.14,RENT,667.0,9.0,9076.0,1.0
33093,8000,credit_card,36 months,pending,4.9,MORTGAGE,782.0,5.0,6084.0,1.0
28534,10000,credit_card,60 months,accepted,17.7,MORTGAGE,707.0,10.0,41329.0,0.0
22444,11000,other,36 months,accepted,22.42,MORTGAGE,692.0,9.0,34314.0,1.0
95117,18000,credit_card,36 months,accepted,17.62,MORTGAGE,672.0,11.0,9379.0,1.0
30817,24000,small_business,60 months,pending,8.96,RENT,707.0,4.0,323.0,1.0
84180,8000,other,60 months,pending,9.92,MORTGAGE,677.0,7.0,8421.0,1.0
35299,6000,other,36 months,accepted,21.45,RENT,687.0,18.0,10426.0,0.0
99867,35000,debt_consolidation,36 months,accepted,22.74,RENT,677.0,15.0,24626.0,1.0
16487,1000,renewable_energy,36 months,pending,0.0,MORTGAGE,732.0,2.0,0.0,1.0
84283,10000,credit_card,36 months,accepted,27.71,RENT,682.0,19.0,19385.0,1.0
83786,6000,medical,36 months,accepted,7.94,RENT,672.0,7.0,14784.0,1.0
85172,4000,car,36 months,accepted,13.03,RENT,752.0,7.0,2860.0,0.0
41190,20000,debt_consolidation,60 months,accepted,10.98,MORTGAGE,747.0,10.0,20836.0,0.0
